"filename", "language", "PHP", "HTML", "comment", "blank", "total"
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/asignar_mentor/asignar_mentor.php", "PHP", 14, 0, 3, 7, 24
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/asignar_mentor/form_asignar_mentor.html", "HTML", 0, 26, 0, 7, 33
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/asignar_mentor/listado_mentores_asignar.php", "PHP", 33, 0, 2, 8, 43
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/asignar_mentor/listado_startups_asignar.php", "PHP", 37, 0, 2, 9, 48
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/administrador/opciones_administrador.html", "HTML", 0, 1, 0, 0, 1
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/inversor/form_invertir_startup.html", "HTML", 0, 24, 0, 5, 29
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/inversor/informacion_startup.php", "PHP", 47, 0, 3, 9, 59
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/inversor/invertir_startup.php", "PHP", 15, 0, 2, 7, 24
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/inversor/listado_startups.php", "PHP", 32, 0, 31, 18, 81
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/inversor/opciones_inversor.html", "HTML", 0, 20, 0, 7, 27
"/Users/administrador/Desktop/INSO WEB/StartupBoost/src/mentor/opciones_mentor.html", "HTML", 0, 19, 0, 7, 26
"Total", "-", 178, 90, 43, 84, 395